Activity database;Activity code;Activity name;Activity unit;Activity type;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange loc;Exchange scale;Exchange negative;Notes
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;d068f3e2-b033-417b-a359-ca4f25da9731;0.00222;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;9990b51b-7023-4700-bca0-1a32ef921f74;0.000279;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;8c52f40c-69b7-4538-8923-b371523c71f5;0.00226;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;f9749677-9c9f-4678-ab55-c607dfdc2cb9;0.722;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;73ed05cc-9727-4abf-9516-4b5c0fe54a16;0.0361;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;baf58fc9-573c-419c-8c16-831ac03203b9;0.000041;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;5f7aad3d-566c-4d0d-ad59-e765f971aa0f;0.00372;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;8216fc31-15a1-4d33-858f-e09650b14c63;0.000000074;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;8c8ffaa5-84ed-4668-ba7d-80fd0f47013f;0.000000477;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;f21b8022-f20d-4752-8cd6-728f56cf9c43;0.000000421;kg;biosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;p;process;fg_bread;Bacterial fermentation;1;p;technosphere;2;1;1.01;FALSE;
fg_bread;CO2 capture;CO2 capture;kg;process;fg_bread;CO2 capture;0.1;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Electricity;Electricity;kWh;process;fg_bread;Electricity;0.99;kWh;technosphere;2;1;1.01;FALSE;
fg_bread;Enzyme;Enzyme;kg;process;fg_bread;Enzyme;0.007;kg;technosphere;2;1;1.01;FALSE;
fg_bread;HCl;HCl;kg;process;fg_bread;HCl;0.079;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Heating oil;Heating oil;kWh;process;fg_bread;Heating oil;3.39;kWh;technosphere;2;1;1.01;FALSE;
fg_bread;MgCO3;MgCO3;kg;process;fg_bread;MgCO3;0.273;kg;technosphere;2;1;1.01;FALSE;
fg_bread;NaCl;NaCl;kg;process;fg_bread;NaCl;15000;kg;technosphere;2;1;1.01;FALSE;
fg_bread;NaOH;NaOH;kg;process;fg_bread;NaOH;0.197;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;p;process;fg_bread;Pre-treatment;1;p;technosphere;2;1;1.01;FALSE;
fg_bread;Purification;Purification;p;process;fg_bread;Purification;1;p;technosphere;2;1;1.01;FALSE;
fg_bread;Steam;Steam;kg;process;fg_bread;Steam;40.5;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Succinic acid production (bread);Succinic acid production (bread);kg;process;fg_bread;Succinic acid production (bread);1;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Water;Water;kg;process;fg_bread;Water;117;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;p;process;fg_bread;Pre-treatment;1;p;technosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;process;fg_bread;MgCO3;0.273;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;process;fg_bread;NaOH;0.197;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kWh;process;fg_bread;Electricity;0.33;kWh;technosphere;2;1;1.01;FALSE;
fg_bread;Bacterial fermentation;Bacterial fermentation;kg;process;fg_bread;Steam;13.5;kg;technosphere;2;1;1.01;FALSE;
fg_bread;CO2 capture;CO2 capture;kg;process;con391;8ea3a8d1fbd4e0654a4a88c18ec33264;0.1;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Electricity;Electricity;kWh;process;con391;206c622c567b1abfcfea904962336d32;0.99;kWh;technosphere;2;1;1.01;FALSE;
fg_bread;Enzyme;Enzyme;kg;process;con391;42c89031f17fb870fe74075906a8f290;0.007;kg;technosphere;2;1;1.01;FALSE;
fg_bread;HCl;HCl;kg;process;con391;8906fee72c7992ad3a7c242c54e1ab13;0.079;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Heating oil;Heating oil;kWh;process;con391;9914a9b79f91864ecf8c1681be876448;3.39;kWh;technosphere;2;1;1.01;FALSE;
fg_bread;MgCO3;MgCO3;kg;process;con391;7b7f4779e2ea6e5238c253bc18cf2f0f;0.273;kg;technosphere;2;1;1.01;FALSE;
fg_bread;NaCl;NaCl;kg;process;con391;14489a2da0aa7b3c633c2b8f67e61e9d;15000;kg;technosphere;2;1;1.01;FALSE;
fg_bread;NaOH;NaOH;kg;process;con391;09360a33570c4ddf0d04eac44e6e4d9c;0.197;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kWh;process;fg_bread;Electricity;0.33;kWh;technosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;process;fg_bread;Steam;13.5;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;process;fg_bread;Enzyme;0.007;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kWh;process;fg_bread;CO2 capture;0.1;kWh;technosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;process;fg_bread;Water;58.6;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Pre-treatment;Pre-treatment;kg;process;fg_bread;Heating oil;3.39;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Purification;Purification;p;process;fg_bread;Bacterial fermentation;1;p;technosphere;2;1;1.01;FALSE;
fg_bread;Purification;Purification;kWh;process;fg_bread;Electricity;0.33;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Purification;Purification;kg;process;fg_bread;HCl;0.079;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Purification;Purification;kg;process;fg_bread;NaCl;15000;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Purification;Purification;kg;process;fg_bread;Steam;13.5;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Purification;Purification;kg;process;fg_bread;Water;58.6;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Steam;Steam;kg;process;con391;04bd55d4038fb6b106f281f15b38a864;40.5;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Succinic acid production (bread);Succinic acid production (bread);kg;process;con391;688bad5a26258b5135cc811aa24138a2;-10.6;kg;technosphere;2;1;1.01;FALSE;
fg_bread;Succinic acid production (bread);Succinic acid production (bread);p;process;fg_bread;Purification;1;p;technosphere;2;1;1.01;FALSE;
fg_bread;Water;Water;kg;process;con391;5620eea9d0ee571e3db16f7d60f6ff8c;117;kg;technosphere;2;1;1.01;FALSE;
