bread @ global warming potential (GWP100) @ -26.23,corn @ global warming potential (GWP100) @ 7.22,bread @ global warming potential (GWP100) @ -26.19
-15.398918957871574,10.898808273161363,-26.379056432549937
-16.936639762662047,4.82181635199562,-10.139979746699488
-19.73619663631131,5.2286445737423515,-34.96755390933035
-20.784262018692967,6.9497578246668095,-41.96301312968726
-21.06241216717621,9.19001481919263,-17.872294383042256
-29.922786174298366,3.452398927330476,-15.61640441976832
-30.633943285715908,6.7980712398853385,-35.420597326835804
-35.47812332818987,5.594512722482316,-31.992986278444334
-39.7669879823543,5.855911152572983,-24.319372226705664
-43.52328921302035,11.262811729132414,-20.516089301533658
