Activity database;Activity code;Activity name;Activity unit;Activity type;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange location;Exchange scale;Exchange negative;Notes
exldb;SA production;SA production;kg;Process;exldb;SA production;1,00;kg;Production; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;Solid biomass;10,64;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kWh;Process;exldb;Electricity production;1,01;kWh;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;Steam production;40,53;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;Water production;117,14;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;Enzyme production;0,01;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;MgCO3 production;0,27;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;NaOH production;0,20;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kWh;Process;exldb;CO2 capture;0,10;kWh;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;Heating oil;3,39;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;HCL production;0,08;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;kg;Process;exldb;NaCl production;15,01;kg;Technosphere; ; ; ; ; 
exldb;SA production;SA production;g;Biosphere;biosphere3;Methane, biogenic (code);0,04;g;Biosphere; ; ; ; ; 
exldb;SA production;SA production;g;Biosphere;biosphere3;Methane, fossil (code);3,72;g;Biosphere; ; ; ; ; 
exldb;SA production;SA production;mg;Biosphere;biosphere3;Chromium VI (code);0,07;mg;Biosphere; ; ; ; ; 
exldb;SA production;SA production;mg;Biosphere;biosphere3;Arsenic (code);0,48;mg;Biosphere; ; ; ; ; 
exldb;SA production;SA production;mg;Biosphere;biosphere3;PAH (code);0,42;mg;Biosphere; ; ; ; ; 
exldb;SA production;SA production;g;Biosphere;biosphere3;Nitrogen oxides (code);2,22;g;Biosphere; ; ; ; ; 
exldb;SA production;SA production;g;Biosphere;biosphere3;Ammonia (code);0,28;g;Biosphere; ; ; ; ; 
exldb;SA production;SA production;g;Biosphere;biosphere3;Sulfor dioxide (code);2,26;g;Biosphere; ; ; ; ; 
exldb;SA production;SA production;g;Biosphere;biosphere3;Carbon dioxide, fossil (code);722,46;g;Biosphere; ; ; ; ; 
exldb;SA production;SA production;g;Biosphere;biosphere3;Carbon dioxide, biogenic (code);36,12;g;Biosphere; ; ; ; ; 
exldb;Electricity production;Electricity production;kWh;Process;ecoinvent 3.9 conseq;1b3abeab9ce01846ca43ab75f0fbfbf7;1,00;kWh;Technosphere; ; ; ; ; 
exldb;Steam production;Steam production;kg;Process;ecoinvent 3.9 conseq;b635bed3bf3b94af832796a9f6e8d8e0;1,00;kg;Technosphere; ; ; ; ; 
exldb;Water production;Water production;kg;Process;ecoinvent 3.9 conseq;df8db7970dbf23c87d9953d19950ee69;1,00;kg;Technosphere; ; ; ; ; 
exldb;Enzyme production;Enzyme production;kg;Process;ecoinvent 3.9 conseq;ecoinvent code;1,00;kg;Technosphere; ; ; ; ; 
exldb;MgCO3 production;MgCO3 production;kg;Process;ecoinvent 3.9 conseq;ecoinvent code;1,00;kg;Technosphere; ; ; ; ; 
exldb;NaOH production;NaOH production;kg;Process;ecoinvent 3.9 conseq;ecoinvent code;1,00;kg;Technosphere; ; ; ; ; 
exldb;CO2 capture;CO2 capture;kg;Process;ecoinvent 3.9 conseq;ecoinvent code;1,00;kg;Technosphere; ; ; ; ; 
exldb;Heating oil;Heating oil;kWh;Process;ecoinvent 3.9 conseq;ecoinvent code;1,00;kWh;Technosphere; ; ; ; ; 
exldb;HCL production;HCL production;kg;Process;ecoinvent 3.9 conseq;ecoinvent code;1,00;kg;Technosphere; ; ; ; ; 
exldb;NaCl production;NaCl production;kg;Process;ecoinvent 3.9 conseq;ecoinvent code;1,00;kg;Technosphere; ; ; ; ; 
